CLASS;N;THREADS;CHUNK;TASKS;TIME;BATTERY
W;33554432;4;1024;32768;5,8584;72
W;33554432;4;1024;32768;5,875;72
W;33554432;4;1024;32768;5,87;72
W;33554432;4;1024;32768;5,9206;72
W;33554432;4;1024;32768;5,8644;72
W;33554432;4;1024;32768;5,954;72
W;33554432;4;1024;32768;5,8529;72
W;33554432;4;1024;32768;5,8457;72
W;33554432;4;1024;32768;5,8433;72
W;33554432;4;1024;32768;5,8474;72
W;33554432;4;1024;32768;5,8515;72
W;33554432;4;8192;4096;22,1862;72
W;33554432;4;8192;4096;10,2509;71
W;33554432;4;8192;4096;11,9841;71
W;33554432;4;8192;4096;11,8102;71
W;33554432;4;8192;4096;11,7776;71
W;33554432;4;8192;4096;13,6628;71
W;33554432;4;8192;4096;10,4574;71
W;33554432;4;8192;4096;10,3179;71
W;33554432;4;8192;4096;10,2447;71
W;33554432;4;8192;4096;10,2352;71
W;33554432;4;8192;4096;10,1334;71
W;33554432;4;8192;4096;10,331;71
W;33554432;4;8192;4096;10,3639;71
W;33554432;4;8192;4096;21,9018;70
W;33554432;4;8192;4096;10,5808;70
W;33554432;4;8192;4096;10,4278;70
W;33554432;4;8192;4096;10,2962;70
W;33554432;4;8192;4096;10,3211;70
W;33554432;4;8192;4096;10,364;70
W;33554432;4;8192;4096;10,3909;70
W;33554432;4;8192;4096;10,5746;70
W;33554432;4;8192;4096;10,4387;70
W;33554432;4;8192;4096;10,4072;70
W;33554432;4;8192;4096;13,074;70
W;33554432;4;8192;4096;11,9896;70
W;33554432;4;8192;4096;12,0124;69
W;33554432;4;8192;4096;11,8035;69
W;33554432;4;8192;4096;11,8107;69
W;33554432;4;8192;4096;11,7119;69
W;33554432;4;8192;4096;11,8099;69
W;33554432;4;65536;512;11,79;69
W;33554432;4;65536;512;11,7466;69
W;33554432;4;65536;512;11,7955;69
W;33554432;4;65536;512;11,7921;69
W;33554432;4;65536;512;11,7613;69
W;33554432;4;65536;512;10,291;68
W;33554432;4;65536;512;10,1633;68
W;33554432;4;65536;512;10,2308;68
W;33554432;4;65536;512;11,7913;68
W;33554432;4;65536;512;17,5673;68
W;33554432;4;65536;512;10,1132;68
W;33554432;4;65536;512;10,2088;68
W;33554432;4;65536;512;10,2248;67
W;33554432;4;65536;512;10,2493;67
W;33554432;4;65536;512;10,2186;67
W;33554432;4;65536;512;10,1934;67
W;33554432;4;65536;512;10,3569;67
W;33554432;4;65536;512;10,2013;67
W;33554432;4;65536;512;10,39;67
W;33554432;4;65536;512;10,3496;67
W;33554432;4;65536;512;10,227;67
W;33554432;4;65536;512;10,2108;67
W;33554432;4;65536;512;10,4303;67
W;33554432;4;65536;512;10,2573;66
W;33554432;4;65536;512;10,3472;66
W;33554432;4;65536;512;10,3841;66
W;33554432;4;65536;512;10,4225;66
W;33554432;4;65536;512;10,6991;66
W;33554432;4;65536;512;10,3774;66
W;33554432;4;65536;512;10,1607;66
